match_id,round,team_a_id,team_b_id,winner_id,loser_id,score_a,score_b,next_match_id
R1-01,R1,T44,T25,T44,T25,3,1,R2-08
R1-02,R1,T07,T35,T07,T35,5,0,R2-09
R1-03,R1,T36,T47,T36,T47,6,5,R2-09
R1-04,R1,T49,T05,T49,T05,,,R2-10
R1-05,R1,T39,T31,T39,T31,5,4,R2-10
R1-06,R1,T16,T26,T16,T26,5,0,R2-11
R1-07,R1,T27,T41,T27,T41,6,4,R2-11
R1-08,R1,T21,T12,T21,T12,5,4,R2-12
R1-09,R1,T34,T01,T34,T01,3,1,R2-12
R1-10,R1,T04,T32,T04,T32,4,1,R2-13
R1-11,R1,T30,T40,T30,T40,5,3,R2-13
R1-12,R1,T42,T03,T42,T03,4,3,R2-14
R1-13,R1,T18,T09,T18,T09,5,1,R2-14
R1-14,R1,T43,T10,T43,T10,5,4,R2-15
R1-15,R1,T46,T13,T46,T13,6,2,R2-15
R1-16,R1,T20,T06,T20,T06,6,3,R2-16
R1-17,R1,T45,T02,T45,T02,10,7,R2-16
R2-01,R2,T37,T24,T37,T24,8,5,R3-01
R2-02,R2,T15,T19,T15,T19,3,2,R3-01
R2-03,R2,T17,T08,T17,T08,6,2,R3-02
R2-04,R2,T33,T23,T33,T23,3,0,R3-02
R2-05,R2,T38,T29,T38,T29,3,0,R3-03
R2-06,R2,T28,T11,T28,T11,6,3,R3-03
R2-07,R2,T14,T22,T14,T22,6,1,R3-04
R2-08,R2,T44,T48,T44,T48,3,1,R3-04
R2-09,R2,T07,T36,T07,T36,6,2,R3-05
R2-10,R2,T49,T39,T49,T39,3,0,R3-05
R2-11,R2,T16,T27,T16,T27,5,1,R3-06
R2-13,R2,T30,T04,T30,T04,8,4,R3-07
R2-14,R2,T42,T18,T42,T18,2,1,R3-07
R2-15,R2,T46,T43,T46,T43,6,1,R3-08
R2-16,R2,T20,T45,T20,T45,4,3,R3-08
R3-01,R3,T15,T37,T15,T37,9,4,QF-02
R3-02,R3,T17,T33,T17,T33,14,0,QF-01
R3-03,R3,T28,T38,T28,T38,3,2,QF-01
R3-04,R3,T14,T44,T14,T44,4,1,QF-02
R3-05,R3,T49,T07,T49,T07,5,3,QF-04
R3-06,R3,T16,T21,T16,T21,5,0,QF-03
R3-07,R3,T30,T42,T30,T42,3,2,QF-04
R3-08,R3,T20,T46,T20,T46,3,1,QF-03
QF-01,QF,T17,T28,T17,T28,11,4,SF-02
QF-02,QF,T15,T14,T15,T14,5,3,SF-01
QF-03,QF,T20,T16,T20,T16,8,7,SF-01
QF-04,QF,T49,T30,T49,T30,2,1,SF-02
SF-01,SF,T15,T20,T15,T20,4,2,F-01
SF-02,SF,T49,T17,T49,T17,5,4,F-01
F-01,F,T49,T15,T49,T15,3,1,
