team_id,odds,odds_note
T01,80,simulation_proxy
T02,55,simulation_proxy
T03,70,simulation_proxy
T04,18,simulation_proxy
T05,65,simulation_proxy
T06,70,simulation_proxy
T07,20,simulation_proxy
T08,16,simulation_proxy
T09,60,simulation_proxy
T10,80,simulation_proxy
T11,9,simulation_proxy
T12,85,simulation_proxy
T13,55,simulation_proxy
T14,12,simulation_proxy
T15,24,simulation_proxy
T16,4,simulation_proxy
T17,28,simulation_proxy
T18,80,simulation_proxy
T19,75,simulation_proxy
T20,30,simulation_proxy
T21,65,simulation_proxy
T22,90,simulation_proxy
T23,65,simulation_proxy
T24,90,simulation_proxy
T25,55,simulation_proxy
T26,38,simulation_proxy
T27,95,simulation_proxy
T28,10,simulation_proxy
T29,70,simulation_proxy
T30,32,simulation_proxy
T31,36,simulation_proxy
T32,7,simulation_proxy
T33,60,simulation_proxy
T34,26,simulation_proxy
T35,85,simulation_proxy
T36,75,simulation_proxy
T37,65,simulation_proxy
T38,70,simulation_proxy
T39,55,simulation_proxy
T40,75,simulation_proxy
T41,90,simulation_proxy
T42,45,simulation_proxy
T43,70,simulation_proxy
T44,45,simulation_proxy
T45,65,simulation_proxy
T46,36,simulation_proxy
T47,85,simulation_proxy
T48,14,simulation_proxy
T49,22,simulation_proxy
